categoria,subcategoria,pregunta,respuesta
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,Densidad para Cenicafé 1 y Castillo®,"Cenicafé 1 y Castillo® permiten hasta 10,000 plantas/ha. Ejemplo de arreglo: 0,72 m entre plantas y 1,4 m entre surcos."
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,¿Qué distancia usar para café de porte bajo?,"Para café de porte bajo use distancias que permitan 10,000 plantas/ha máximo, como 0,72 m entre plantas x 1,4 m entre surcos."
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,¿Cuál es la densidad de siembra recomendada para variedades de porte alto?,"Para variedades de porte alto como Tabi, se recomiendan densidades de siembra de 5,000 plantas por hectárea."
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,¿Cuántas plantas de Tabi por hectárea?,"La variedad Tabi (porte alto) debe sembrarse a 5,000 plantas por hectárea."
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,Densidad de siembra para Tabi,"Tabi requiere 5,000 plantas/ha debido a su porte alto."
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,¿Qué población usar para café de porte alto?,"Variedades de porte alto como Tabi se siembran a 5,000 plantas/ha."
DENSIDADES Y RENOVACIÓN,Renovación,¿Cuándo debe renovarse un cafetal?,"La duración del ciclo de producción se determina según el número de cosechas con las que se consigue el máximo promedio de producción anual. Un cafetal debe renovarse cuando presenta: excesivo crecimiento en altura, baja producción, desplazamiento de la zona productiva hacia la punta de las ramas y tercio superior del tallo, pérdida de ramas bajeras, y dificultad para realizar prácticas de manejo."
DENSIDADES Y RENOVACIÓN,Renovación,Señales de que un cafetal necesita renovación,"Renovar cuando hay: crecimiento excesivo en altura, producción baja, zona productiva desplazada hacia arriba, pérdida de ramas inferiores, dificultad en manejo y cosecha."
DENSIDADES Y RENOVACIÓN,Renovación,¿Cómo saber si debo renovar el café?,"Debe renovar si observa: plantas muy altas, producción reducida, frutos solo en la parte superior, ramas bajeras perdidas, y dificultad para cosechar y manejar el cultivo."
DENSIDADES Y RENOVACIÓN,Renovación,Síntomas de envejecimiento del cafetal,"Cafetal envejecido muestra: excesiva altura, baja productividad, producción concentrada en la copa, ausencia de ramas bajas, y manejo difícil."
DENSIDADES Y RENOVACIÓN,Métodos de Renovación,¿Cuáles son las alternativas para la renovación de cafetales?,"Las alternativas son: 1) Renovación por siembra, 2) Poda calavera, 3) Poda pulmón, 4) Zoca común, y 5) Descope. Cada método tiene condiciones específicas de uso según el estado del cultivo y los objetivos del caficultor."
DENSIDADES Y RENOVACIÓN,Métodos de Renovación,Métodos de renovación de café,"Los métodos son: siembra nueva, poda calavera, poda pulmón, zoca común y descope. La elección depende del estado del cultivo y objetivos."
DENSIDADES Y RENOVACIÓN,Métodos de Renovación,¿Cómo puedo renovar mi cafetal?,"Puede renovar por: siembra (resiembra completa), poda calavera (corte de ramas dejando tallo), poda pulmón (corte a 60 cm), zoca común (corte a 30 cm), o descope (variedades altas)."
DENSIDADES Y RENOVACIÓN,Métodos de Renovación,Tipos de renovación en café,"Existen 5 tipos: siembra nueva, poda calavera, poda pulmón, zoca común, descope. Cada uno se usa según condiciones del lote."
DENSIDADES Y RENOVACIÓN,Poda Calavera,¿Qué es la poda calavera?,"La poda calavera consiste en eliminar total o parcialmente las ramas, dejando 10 cm de longitud, y dejando el tallo con libre crecimiento o con poda por encima de 1,80 m. Se permite el desarrollo de todos los chupones a lo largo del tallo. La duración del ciclo es de dos cosechas."
DENSIDADES Y RENOVACIÓN,Poda Calavera,¿En qué consiste la poda calavera?,"Cortar ramas dejando 10 cm, tallo libre o podado a 1,80 m. Permite todos los chupones. Ciclo: 2 cosechas."
DENSIDADES Y RENOVACIÓN,Poda Calavera,Definición de poda calavera,"Poda que elimina ramas (dejando 10 cm), mantiene tallo en crecimiento o podado a 1,80 m, permite todos los chupones. Duración: 2 cosechas."
DENSIDADES Y RENOVACIÓN,Poda Calavera,¿Cómo se hace la poda calavera?,"Corte las ramas dejando solo 10 cm de longitud. El tallo puede crecer libremente o podarse sobre 1,80 m. Deje crecer todos los chupones. Renueve después de 2 cosechas."
DENSIDADES Y RENOVACIÓN,Zoca Común,¿Qué es la zoca común?,"En la zoca común el corte del tallo se hace a 30 cm sobre el suelo. Los nuevos chupones que se forman se seleccionan dejando uno o dos chupones por sitio, según la densidad de siembra inicial. Esta alternativa permite ciclos de producción de cuatro a cinco cosechas."
DENSIDADES Y RENOVACIÓN,Zoca Común,Zoca común del café,"Corte de tallo a 30 cm del suelo, selección de 1-2 chupones por sitio. Permite 4-5 cosechas por ciclo."
DENSIDADES Y RENOVACIÓN,Zoca Común,¿Cómo hacer una zoca común?,"Corte el tallo a 30 cm sobre el suelo, seleccione 1-2 chupones por planta (según densidad). Ciclo productivo: 4-5 cosechas."
DENSIDADES Y RENOVACIÓN,Zoca Común,Definición y duración de zoca común,"Zoca común: corte a 30 cm, selección de chupones (1-2 por sitio), ciclo de 4-5 cosechas."
CULTIVOS INTERCALADOS,Sombrío Transitorio,¿Cuáles son las especies recomendadas como sombrío transitorio?,"Como sombrío transitorio pueden establecerse tefrosia, guandul y crotalaria, en densidades de siembra cercanas a las 10,000 plantas por hectárea, sembrado entre las calles del café."
CULTIVOS INTERCALADOS,Sombrío Transitorio,Plantas para sombrío transitorio,"Use tefrosia, guandul o crotalaria a 10,000 plantas/ha entre las calles del café."
CULTIVOS INTERCALADOS,Sombrío Transitorio,¿Qué sembrar como sombra temporal?,"Siembre tefrosia, guandul o crotalaria (leguminosas) a 10,000 plantas/ha como sombrío transitorio."
CULTIVOS INTERCALADOS,Sombrío Transitorio,Leguminosas para sombrío temporal,"Las leguminosas recomendadas son tefrosia, guandul y crotalaria, sembradas a 10,000/ha entre surcos de café."
CULTIVOS INTERCALADOS,Cultivos Asociados,¿Qué cultivos pueden intercalarse con el café?,"Pueden intercalarse maíz y fríjol arbustivo. Durante los primeros 18 meses, antes de obtener la primera cosecha de café, pueden llevarse a cabo hasta dos cosechas de maíz y tres cosechas de fríjol arbustivo."
CULTIVOS INTERCALADOS,Cultivos Asociados,Cultivos intercalados recomendados,"Maíz (2 cosechas) y fríjol arbustivo (3 cosechas) en los primeros 18 meses del café."
CULTIVOS INTERCALADOS,Cultivos Asociados,¿Qué puedo sembrar entre el café?,"Intercale maíz (hasta 2 cosechas) y fríjol arbustivo (hasta 3 cosechas) durante los primeros 18 meses."
CULTIVOS INTERCALADOS,Cultivos Asociados,Asociación de cultivos con café,"Asocie maíz y fríjol arbustivo con café joven, logrando 2 y 3 cosechas respectivamente antes de la primera cosecha de café."
CULTIVOS INTERCALADOS,Densidad Maíz,¿Cuál es la densidad de siembra recomendada para maíz intercalado?,"La densidad recomendada para maíz intercalado es de 55,000 plantas/ha, usando un sistema de siembra de surcos dobles ubicados en el centro de las calles del café y distanciados 40 cm entre ellos."
CULTIVOS INTERCALADOS,Densidad Maíz,¿Cuántas plantas de maíz intercalar?,"Intercale 55,000 plantas de maíz por hectárea en surcos dobles (40 cm entre ellos) en el centro de las calles del café."
CULTIVOS INTERCALADOS,Densidad Maíz,Población de maíz en sistema intercalado,"55,000 plantas/ha de maíz en surcos dobles separados 40 cm, ubicados entre las calles de café."
CULTIVOS INTERCALADOS,Densidad Maíz,Densidad maíz intercalado con café,"Use 55,000 maíz/ha mediante surcos dobles (40 cm separación) en el centro de calles de café."
CULTIVOS INTERCALADOS,Densidad Fríjol,¿Cuál es la densidad de siembra recomendada para fríjol arbustivo intercalado?,"La densidad recomendada para fríjol arbustivo intercalado es de 160,000 plantas/ha, usando el mismo sistema de surcos dobles del maíz."
CULTIVOS INTERCALADOS,Densidad Fríjol,¿Cuántas plantas de fríjol intercalar?,"Intercale 160,000 plantas de fríjol arbustivo por hectárea usando surcos dobles de 40 cm."
CULTIVOS INTERCALADOS,Densidad Fríjol,Población de fríjol en intercalado,"160,000 plantas/ha de fríjol en el mismo sistema de surcos dobles usado para maíz."
CULTIVOS INTERCALADOS,Densidad Fríjol,Densidad fríjol arbustivo intercalado,"Use 160,000 fríjol/ha en surcos dobles (40 cm) entre las calles de café."
MANEJO DE ARVENSES,Competencia,¿Cuál es el período crítico de competencia entre arvenses y cultivos intercalados?,"El período crítico de competencia ocurre durante los primeros 30 días después de la siembra. Durante este tiempo es importante realizar controles oportunos que eviten la interferencia y mejoren el establecimiento de las poblaciones recomendadas."
MANEJO DE ARVENSES,Competencia,¿Cuándo compiten más las arvenses?,"La competencia crítica de arvenses ocurre en los primeros 30 días post-siembra, requiriendo controles oportunos."
MANEJO DE ARVENSES,Competencia,Periodo crítico de arvenses en intercalados,"Los primeros 30 días después de siembra son críticos para control de arvenses en cultivos intercalados."
MANEJO DE ARVENSES,Competencia,¿Por cuánto tiempo controlar arvenses inicialmente?,"Controle arvenses rigurosamente durante los primeros 30 días para garantizar establecimiento de poblaciones."
CULTIVOS INTERCALADOS,Fertilización Maíz,¿Cómo se fertiliza el maíz intercalado?,"La fertilización del maíz se hace en tres etapas: 1) Etapa VE (5 días después de emergencia): 40 kg N, 100 kg P₂O₅ y 50 kg K₂O por ha. 2) Etapa V6 (sexta hoja): 69 kg N y 50 kg K₂O por ha. 3) Etapa V10 (décima hoja): 69 kg N por ha."
CULTIVOS INTERCALADOS,Fertilización Maíz,Plan de fertilización para maíz intercalado,"VE (5 días): 40N-100P₂O₅-50K₂O kg/ha. V6 (sexta hoja): 69N-50K₂O kg/ha. V10 (décima hoja): 69N kg/ha."
CULTIVOS INTERCALADOS,Fertilización Maíz,¿Cuándo y cuánto fertilizar el maíz?,"Primera (día 5): 40-100-50 NPK. Segunda (hoja 6): 69-0-50 NPK. Tercera (hoja 10): 69-0-0 NPK. Cantidades en kg/ha."
CULTIVOS INTERCALADOS,Fertilización Maíz,Fertilización fraccionada del maíz,"Tres aplicaciones: 1) VE: 40-100-50, 2) V6: 69-0-50, 3) V10: 69-0-0. Todos los valores en kg/ha de N-P₂O₅-K₂O."
CULTIVOS INTERCALADOS,Fertilización Fríjol,¿Cómo se fertiliza el fríjol arbustivo intercalado?,"La fertilización del fríjol se realiza en dos momentos: 1) A los 5 días después de emergencia: mezcla de 20 kg N, 15 kg P₂O₅ y 20 kg K₂O por ha al chorrillo. 2) Después de 30 días de emergencia: 20 kg N por ha al chorrillo en la base de los tallos."
CULTIVOS INTERCALADOS,Fertilización Fríjol,Plan de fertilización para fríjol intercalado,"Primera (día 5): 20N-15P₂O₅-20K₂O kg/ha al chorrillo. Segunda (día 30): 20N kg/ha al chorrillo."
CULTIVOS INTERCALADOS,Fertilización Fríjol,¿Cuándo fertilizar el fríjol intercalado?,"Fertilice a los 5 días (20-15-20 NPK kg/ha) y a los 30 días (20N kg/ha), ambas al chorrillo."
CULTIVOS INTERCALADOS,Fertilización Fríjol,Fertilización de fríjol en dos etapas,"Dos aplicaciones al chorrillo: 5 días (20-15-20 NPK) y 30 días (20-0-0 NPK). Cantidades en kg/ha."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,¿Cuál es el ciclo del fríjol arbustivo intercalado?,"El ciclo del fríjol arbustivo es de 90 días desde la siembra hasta la cosecha de grano seco."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,¿Cuánto dura el fríjol arbustivo?,"El fríjol arbustivo completa su ciclo en 90 días (siembra a cosecha de grano seco)."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,Duración del ciclo de fríjol,"90 días desde siembra hasta cosecha de grano seco."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,¿En cuántos días se cosecha el fríjol?,"Se cosecha a los 90 días después de la siembra (grano seco)."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,¿Cuál es el ciclo del maíz intercalado?,"Para la zona cafetera colombiana se recomiendan cultivares de maíz cuyo ciclo oscila entre 145 a 160 días. Si el propósito es comercialización de mazorcas tiernas (choclo), la cosecha manual debe realizarse cerca de los 90 días después de siembra en estado de grano lechoso."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,¿Cuánto dura el maíz intercalado?,"El maíz intercalado dura 145-160 días para grano seco, o 90 días para mazorca tierna (choclo)."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,Duración del ciclo de maíz,"145-160 días para grano seco; 90 días para choclo (grano lechoso)."
CULTIVOS INTERCALADOS,Ciclo de Cultivos,¿Cuándo cosechar el maíz intercalado?,"Coseche a los 145-160 días (grano seco) o a los 90 días (mazorca tierna/choclo)."
SUELOS,Acidez,¿Por qué es importante corregir la acidez del suelo para el cultivo de café?,"Cuando las raíces del café se desarrollan en suelos ácidos su crecimiento es menor, son menos eficientes en la absorción de agua y nutrientes, y por lo tanto, las plantas son menos productivas. La acidez es una de las limitantes comunes para la producción de café en muchas regiones de Colombia."
SUELOS,Acidez,Importancia de corregir acidez en café,"La acidez reduce el crecimiento radicular, disminuye la eficiencia de absorción de agua y nutrientes, y baja la productividad del café."
SUELOS,Acidez,¿Qué pasa si no corrijo la acidez?,"Sin corrección de acidez: raíces crecen menos, absorben mal agua y nutrientes, y las plantas son menos productivas."
SUELOS,Acidez,Efectos de la acidez en el cafetal,"Suelos ácidos causan: menor desarrollo de raíces, absorción deficiente de agua y nutrientes, reducción de productividad."
SUELOS,Análisis de Suelo,¿Cuál es la herramienta indispensable para el manejo de la acidez del suelo?,"El análisis de suelo es la herramienta indispensable para el manejo de la acidez, el cual ayuda a definir la dosis y la fuente de la enmienda (principalmente cales) para cada etapa del cultivo."
SUELOS,Análisis de Suelo,¿Cómo saber si debo encalar?,"Realice un análisis de suelo para determinar si necesita encalar y definir la dosis y fuente de enmienda apropiada."
SUELOS,Análisis de Suelo,Herramienta para manejo de acidez,"El análisis de suelo es indispensable para determinar necesidad, dosis y tipo de enmienda (cal) requerida."
SUELOS,Análisis de Suelo,¿Qué necesito para saber cuánta cal aplicar?,"Necesita un análisis de suelo que indique la dosis y el tipo de enmienda (cal) necesaria para cada etapa."
SUELOS,Enmiendas,¿Cuál es la alternativa más efectiva para enfrentar la acidez del suelo?,"La alternativa más efectiva para enfrentar la acidez del suelo es el uso de cales, principalmente carbonatos de calcio y/o de magnesio."
SUELOS,Enmiendas,¿Cómo corregir la acidez del suelo?,"Use cales, principalmente carbonatos de calcio y/o magnesio, para corregir efectivamente la acidez."
SUELOS,Enmiendas,Enmienda para acidez del suelo,"Las cales (carbonatos de calcio y/o magnesio) son la enmienda más efectiva contra la acidez."
SUELOS,Enmiendas,¿Qué aplicar para neutralizar acidez?,"Aplique cales basadas en carbonatos de calcio y/o de magnesio."
SUELOS,Aplicación de Cal,¿Cómo debe aplicarse la cal para que sea efectiva?,"Como la cal no es soluble, su efectividad está dada por la forma de su aplicación. Es mucho más eficaz si se incorpora al suelo, práctica que solo puede efectuarse al momento de la siembra. Después de la siembra debe esparcirse de manera homogénea en la zona de raíces (el plato del árbol)."
SUELOS,Aplicación de Cal,Forma correcta de aplicar cal,"Incorpore la cal al suelo antes de sembrar (más efectivo). Después de siembra, esparza homogéneamente en el plato del árbol."
SUELOS,Aplicación de Cal,¿Cuándo y cómo aplicar la cal?,"Pre-siembra: incorpore al suelo (máxima efectividad). Post-siembra: distribuya uniformemente en la zona de raíces."
SUELOS,Aplicación de Cal,Aplicación de cal en café,"La cal se incorpora al suelo antes de plantar o se esparce uniformemente en el plato después de establecido el cultivo."
SUELOS,Época de Encalamiento,¿Cuándo debe realizarse el encalamiento?,"Se sugiere llevar a cabo el encalamiento aproximadamente 2 meses antes o después de fertilizar sin fraccionar la dosis. Esta labor puede realizarse tanto en épocas de lluvia como secas."
SUELOS,Época de Encalamiento,¿En qué época encalar?,"Encale 2 meses antes o después de fertilizar, aplicando la dosis completa. Puede hacerse en lluvia o sequía."
SUELOS,Época de Encalamiento,Época para aplicar cal,"2 meses antes o después de la fertilización, dosis completa, en cualquier época del año."
SUELOS,Época de Encalamiento,¿Puedo encalar en época seca?,"Sí, puede encalar tanto en época seca como lluviosa, 2 meses antes/después de fertilizar."
SUELOS,Problemas de Encalamiento,¿Qué sucede si se aplica más cal de la necesaria?,"El sobre-encalamiento afecta negativamente el crecimiento de las plantas, generando deficiencias de algunos elementos, principalmente de hierro, lo que se conoce como clorosis calcárea."
SUELOS,Problemas de Encalamiento,Problemas del exceso de cal,"Exceso de cal causa clorosis calcárea (deficiencia de hierro) y afecta negativamente el crecimiento."
SUELOS,Problemas de Encalamiento,¿Qué pasa si aplico mucha cal?,"Demasiada cal induce deficiencia de hierro (clorosis calcárea) y reduce el crecimiento de las plantas."
SUELOS,Problemas de Encalamiento,Efectos del sobre-encalamiento,"Sobre-encalar causa clorosis calcárea por deficiencia de hierro y perjudica el desarrollo del café."
NUTRICIÓN,Macronutrientes,¿Cuáles son los macronutrientes que demanda el café?,"Los macronutrientes de mayor demanda son el nitrógeno, fósforo, potasio, calcio, magnesio y azufre. Los dos macronutrientes más absorbidos en todas las etapas del cultivo son el nitrógeno y el potasio."
NUTRICIÓN,Macronutrientes,Macronutrientes del café,"Mayor demanda: nitrógeno, fósforo, potasio, calcio, magnesio, azufre. Más absorbidos: nitrógeno y potasio."
NUTRICIÓN,Macronutrientes,¿Qué nutrientes necesita más el café?,"El café demanda más nitrógeno y potasio, seguidos por calcio, fósforo, magnesio y azufre."
NUTRICIÓN,Macronutrientes,Nutrientes principales del café,"Nitrógeno y potasio (mayor absorción), seguidos por calcio, fósforo, magnesio y azufre."
NUTRICIÓN,Importancia de Fertilización,¿Cuánto puede reducirse la producción sin fertilización adecuada?,"Cuando no se llevan a cabo prácticas adecuadas de fertilización la producción se reduce en más de 40% y en ocasiones hasta 80%."
NUTRICIÓN,Importancia de Fertilización,Pérdidas por no fertilizar,"Sin fertilización adecuada se pierde más del 40% de producción, pudiendo alcanzar hasta 80%."
NUTRICIÓN,Importancia de Fertilización,¿Qué pasa si no fertilizo el café?,"La producción disminuye en más de 40%, llegando hasta 80% de pérdida sin fertilización apropiada."
NUTRICIÓN,Importancia de Fertilización,Impacto de no fertilizar,"No fertilizar adecuadamente reduce la producción entre 40% y 80%."
NUTRICIÓN,Dosis de Fertilización,¿Cuáles son las cantidades de nutrientes recomendadas para cafetales tecnificados en producción?,"Para cafetales tecnificados con altas densidades de siembra y bajo nivel de sombra: 300 kg/ha/año de nitrógeno-N, 260 kg/ha/año de potasio-K₂O, 50 kg/ha/año de fósforo-P₂O₅, 50 kg/ha/año de magnesio-MgO y 50 kg/ha/año de azufre-S."
NUTRICIÓN,Dosis de Fertilización,Dosis de fertilización en café productivo,"300 kg N, 260 kg K₂O, 50 kg P₂O₅, 50 kg MgO, 50 kg S por hectárea al año."
NUTRICIÓN,Dosis de Fertilización,¿Cuánto fertilizante aplicar en café en producción?,"Aplique anualmente por ha: 300 kg N, 260 kg K₂O, 50 kg P₂O₅, 50 kg MgO, 50 kg S."
NUTRICIÓN,Dosis de Fertilización,Fertilización anual del cafetal,"Por hectárea/año: nitrógeno 300, potasio 260, fósforo 50, magnesio 50, azufre 50 (kg)."
NUTRICIÓN,Relación de Nutrientes,¿Cuál es la relación adecuada entre nutrientes para el café?,"Una relación adecuada entre nitrógeno, fósforo, potasio, magnesio y azufre sería de 6,0:1,0:5,2:0,8:1,0."
NUTRICIÓN,Relación de Nutrientes,Relación N:P:K:Mg:S,"6,0:1,0:5,2:0,8:1,0 (N:P₂O₅:K₂O:MgO:S)"
NUTRICIÓN,Relación de Nutrientes,Proporción de nutrientes en café,"La proporción ideal es 6 partes N, 1 P₂O₅, 5,2 K₂O, 0,8 MgO, 1 S."
NUTRICIÓN,Relación de Nutrientes,Balance nutricional del café,"Relación balanceada: N(6) : P₂O₅(1) : K₂O(5,2) : MgO(0,8) : S(1)"
NUTRICIÓN,Fraccionamiento,¿Cuántas aplicaciones de fertilizante se recomiendan al año?,"Puede distribuirse la dosis total normalmente en dos aplicaciones al año, pero excepcionalmente en tres, teniendo en cuenta la cantidad y las propiedades del fertilizante, así como el régimen de la lluvia."
NUTRICIÓN,Fraccionamiento,Fraccionamiento de la fertilización,"Normalmente 2 aplicaciones/año, excepcionalmente 3, según cantidad, tipo de fertilizante y lluvias."
NUTRICIÓN,Fraccionamiento,¿Cuántas veces fertilizar al año?,"Fertilice 2 veces al año (ocasionalmente 3) dependiendo del fertilizante y régimen de lluvias."
NUTRICIÓN,Fraccionamiento,Frecuencia de fertilización,"2 aplicaciones anuales (3 en casos excepcionales) según tipo de fertilizante y patrón de lluvias."
NUTRICIÓN,Época de Aplicación,¿Cuándo debe realizarse la fertilización?,"Todo plan de fertilización está sujeto a la lluvia. Se recomienda realizar la fertilización al comenzar los períodos lluviosos, ya que el agua además de disolver los fertilizantes, es el insumo indispensable para la absorción de los nutrientes desde la solución del suelo."
NUTRICIÓN,Época de Aplicación,¿En qué época fertilizar?,"Fertilice al inicio de los períodos lluviosos cuando hay disponibilidad de agua para disolver y transportar nutrientes."
NUTRICIÓN,Época de Aplicación,Época de aplicación de fertilizantes,"Aplique fertilizantes al comenzar las lluvias, cuando hay agua para disolver y facilitar absorción de nutrientes."
NUTRICIÓN,Época de Aplicación,¿Se puede fertilizar en verano?,"No es recomendable. Fertilice al inicio de lluvias porque el agua es necesaria para disolver y que las plantas absorban los nutrientes."
SOMBRÍO,Porcentaje de Sombra,¿Qué porcentaje de sombra máximo debe tener el café?,"El sombrío para un cafetal, sin que disminuya su producción, debe tener una cobertura máxima del 45%. El máximo sombrío para el café (45%) se establecería para una región con un brillo solar de 2,300 horas por año."
SOMBRÍO,Porcentaje de Sombra,Sombra máxima para el café,"Máximo 45% de sombrío para no afectar producción, válido para zonas con 2,300 horas de brillo solar/año."
SOMBRÍO,Porcentaje de Sombra,¿Cuánta sombra puede tener el cafetal?,"Hasta 45% de cobertura sin reducir producción (en regiones con 2,300 h de sol/año)."
SOMBRÍO,Porcentaje de Sombra,Límite de sombrío en café,"45% de sombra es el límite para mantener productividad en zonas con 2,300 horas luz/año."
SOMBRÍO,Densidad de Árboles,¿Cuál es la densidad de árboles de sombrío recomendada?,"La densidad de siembra de los árboles a emplear como sombrío no debe ser superior a 70 árboles/ha, es decir, sembrados a 12,0 m x 12,0 m, si el café se establece a densidades superiores a 5,000 plantas/ha."
SOMBRÍO,Densidad de Árboles,¿Cuántos árboles de sombra por hectárea?,"Máximo 70 árboles/ha (12 m x 12 m) cuando el café está a más de 5,000 plantas/ha."
SOMBRÍO,Densidad de Árboles,Densidad de sombrío permanente,"No más de 70 árboles/ha (distancia 12 x 12 m) para café con densidad > 5,000 plantas/ha."
SOMBRÍO,Densidad de Árboles,¿A qué distancia plantar los árboles de sombra?,"Plante árboles de sombrío a 12 m x 12 m (70 árboles/ha) si el café está a más de 5,000 plantas/ha."
VARIEDADES DE CAFÉ,Beneficios y Ventajas,¿Cuál es la principal ventaja de sembrar variedades de café desarrolladas por Cenicafé?,"La principal ventaja es la resistencia comprobada a la Roya del Cafeto, lo que garantiza estabilidad en la producción y reduce la dependencia de fungicidas"
VARIEDADES DE CAFÉ,Características,¿Qué variedades de café son de porte bajo y resistentes a la roya?,"Las principales variedades de porte bajo y resistentes son la Variedad Castillo® (con sus componentes zonales), y la Variedad Cenicafé 1"
VARIEDADES DE CAFÉ,Selección Regional,¿Qué factores determinan la selección de una variedad regional de Castillo (Ej. Castillo Naranjal)?,"La selección se basa en la adaptación comprobada a las condiciones agroclimáticas y de suelos específicas de la región, buscando la máxima expresión de productividad y calidad"
VARIEDADES DE CAFÉ,Renovación,¿Cuál es el principal indicador de que una plantación susceptible a roya necesita renovación?,"Una incidencia de roya que supera el 20-30% de las hojas de la planta, ya que las pérdidas en cosecha son irreversibles en ese ciclo"
VARIEDADES DE CAFÉ,Rentabilidad,¿Por qué es fundamental la resistencia a la roya para la rentabilidad del caficultor?,"Permite reducir significativamente los costos por aplicación de fungicidas y asegura una mejor relación entre área foliar y producción de cerezas"
VARIEDADES DE CAFÉ,Tabi,¿Qué es la Variedad Tabi y dónde se recomienda su uso?,"Tabi es una variedad de porte alto, resistente a roya y de alta calidad en taza. Se recomienda en sistemas de alta densidad, manejada con la técnica de múltiples tallos, o en sistemas tradicionales"
PRODUCTIVIDAD,Rendimiento,¿Qué nivel de producción puede esperarse de un lote bien manejado de Variedad Castillo®?,"En condiciones óptimas de fertilización y manejo, se pueden alcanzar producciones de 200 a 300 arrobas de café pergamino seco por hectárea (a/ha) en el pico productivo"
ECONOMÍA CAFETERA,Indicadores,¿Cuál es la importancia de la relación de producción (RP) en el análisis de rentabilidad?,"La Relación de Producción indica la cantidad de café pergamino seco obtenida por cada 100 kilos de cereza recolectada. Una RP alta indica eficiencia en el beneficio y mejor calidad"
SANIDAD VEGETAL,Enfermedades - Roya,¿Qué porcentaje de pérdida productiva causa la roya en variedades susceptibles?,"La roya puede causar pérdidas que oscilan entre el 23% y el 50% de la cosecha potencial en un ciclo de cuatro cosechas sin control químico"
DENSIDADES Y RENOVACIÓN,Ciclo Productivo,¿Cuál es la vida útil o ciclo de alta productividad de la Variedad Castillo®?,"El ciclo productivo se mantiene alto por aproximadamente 5 a 7 años, momento en el cual se recomienda realizar la renovación por zoqueo para mantener la rentabilidad"
VARIEDADES DE CAFÉ,Cenicafé 1,¿La Variedad Cenicafé 1 es una variedad de porte alto o bajo?,"Es una variedad de porte bajo, similar a Caturra, lo que facilita la recolección y permite mayores densidades de siembra"
PRODUCTIVIDAD,Evaluación,¿Cómo se evalúa la productividad de un lote de café?,"Se evalúa midiendo la producción anual en arrobas de café pergamino seco por hectárea (a/cps/ha) y comparándola con los costos de producción"
ECONOMÍA CAFETERA,Riesgos,¿Qué riesgo se asume al sembrar variedades de café susceptibles a roya (ej. Caturra o Típica)?,"El riesgo de incurrir en altos costos por fungicidas o sufrir pérdidas significativas de cosecha cuando las condiciones ambientales favorecen el desarrollo de la enfermedad"
DENSIDADES Y RENOVACIÓN,Densidad de Siembra,¿La Variedad Castillo® requiere de una siembra con mayor densidad que la Variedad Colombia?,"No necesariamente. Ambas son de porte bajo y pueden manejarse con densidades altas (ej. 7.000 a 10.000 plantas/ha), ajustando la distancia entre plantas según la fertilidad del suelo"
ECONOMÍA CAFETERA,Proyecciones,¿Qué es el valor de la cosecha proyectada?,"Es una estimación del ingreso total por la venta de café de un lote, calculado a partir de la producción esperada y el precio promedio de la carga"
VARIEDADES DE CAFÉ,Porte Alto,¿Qué implicaciones tiene el porte alto de una variedad como Tabi en la siembra?,"El porte alto requiere un manejo de sombrío y densidades de siembra ligeramente menores para evitar el auto-sombrío excesivo y el volcamiento por el viento"
SEMILLA Y ALMÁCIGOS,Preparación de Suelo,¿Cuál es el primer paso para establecer un nuevo cafetal?,"El primer paso es realizar un **Análisis Físico y Químico de Suelos** para determinar las necesidades de encalado (corrección de acidez) y fertilización de base"
SEMILLA Y ALMÁCIGOS,Almácigo - Material,¿Cuál es el tamaño recomendado de la bolsa para el almácigo?,"Se recomienda una bolsa de polietileno de 17 cm de ancho x 23 cm de alto, para contener aproximadamente 2 kg de sustrato y permitir el desarrollo radicular sin deformaciones (cola de marrano)"
SEMILLA Y ALMÁCIGOS,Sustrato,¿Qué características debe tener un buen sustrato para el almácigo?,"Debe ser una mezcla de tierra de buena calidad (sin infestación de plagas) y materia orgánica (pulpa descompuesta, cascarilla de arroz), asegurando buen drenaje y aireación"
SEMILLA Y ALMÁCIGOS,Terminología,¿Qué es una 'chapola'?,"Una chapola es la plántula de café que se encuentra en la etapa inicial de crecimiento, inmediatamente después de la germinación, con sus cotiledones expandidos"
SEMILLA Y ALMÁCIGOS,Calidad del Colino,¿Cómo se define un 'colino' de café listo para ser sembrado en campo?,"Un colino está listo cuando tiene entre 4 y 6 pares de hojas verdaderas, un tallo firme y un sistema radicular bien desarrollado, lo cual ocurre entre 4 a 6 meses después de la siembra en almácigo"
